"","Date","AveragePrice","Total.Volume","X4046","X4225","X4770","Total.Bags","Small.Bags","Large.Bags","XLarge.Bags","type","year","region"
"17","2015-01-25",1.03,66069.21,51922.06,7555.95,2061.16,4530.04,2009.53,2520.51,0,"conventional",2015,"Boise"
"18","2015-01-18",1.08,62870.49,50354.95,6342.37,2257.23,3915.94,1119.18,2796.76,0,"conventional",2015,"Boise"
"19","2015-01-11",1.18,57355.52,38112.34,10997.54,3321.89,4923.75,3295.11,1628.64,0,"conventional",2015,"Boise"
"20","2015-01-04",1.01,80034.32,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0,"conventional",2015,"Boise"
"21","2015-02-01",1.22,490022.14,6082.88,373452.06,272.81,110214.39,109900.93,313.46,0,"conventional",2015,"Boston"
"22","2015-01-25",1.17,409343.56,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0,"conventional",2015,"Boston"
"23","2015-01-18",1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0,"conventional",2015,"Boston"
"24","2015-01-11",1.1,437771.89,5548.11,320577.36,121.81,111524.61,111192.88,331.73,0,"conventional",2015,"Boston"
"25","2015-01-04",1.02,491738,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0,"conventional",2015,"Boston"
"26","2015-02-01",1.33,153920.35,2117.73,64770.55,112.49,86919.58,86848.47,71.11,0,"conventional",2015,"BuffaloRochester"
"27","2015-01-25",1.5,114052.94,1321.19,54007.48,74.53,58649.74,57909.74,740,0,"conventional",2015,"BuffaloRochester"
"28","2015-01-18",1.52,107040.29,1625.26,61859.85,133.29,43421.89,43419.67,2.22,0,"conventional",2015,"BuffaloRochester"
"29","2015-01-11",1.54,106221.32,1642.25,50985.2,79.61,53514.26,53514.26,0,0,"conventional",2015,"BuffaloRochester"
"30","2015-01-04",1.4,116253.44,3267.97,55693.04,109.55,57182.88,57182.88,0,0,"conventional",2015,"BuffaloRochester"
"31","2015-02-01",1.83,1228.51,33.12,99.36,0,1096.03,1096.03,0,0,"organic",2015,"Albany"
"32","2015-01-25",1.89,1115.89,14.87,148.72,0,952.3,952.3,0,0,"organic",2015,"Albany"
"33","2015-01-18",1.93,1118.47,8.02,178.78,0,931.67,931.67,0,0,"organic",2015,"Albany"
"34","2015-01-11",1.77,1182.56,39,305.12,0,838.44,838.44,0,0,"organic",2015,"Albany"
"35","2015-01-04",1.79,1373.95,57.42,153.88,0,1162.65,1162.65,0,0,"organic",2015,"Albany"
"36","2015-02-01",1.44,7665.7,1565.49,4210.72,0,1889.49,1133.33,756.16,0,"organic",2015,"Atlanta"
"37","2015-01-25",1.87,3047.38,1578.59,735.23,0,733.56,533.33,200.23,0,"organic",2015,"Atlanta"
"38","2015-01-18",1.86,4294.01,2138.51,989.4,0,1166.1,1019.34,146.76,0,"organic",2015,"Atlanta"
"39","2015-01-11",1.84,3743.82,1613.69,1207.72,0,922.41,865,57.41,0,"organic",2015,"Atlanta"
"40","2015-01-04",1.76,3846.69,1500.15,938.35,0,1408.19,1071.35,336.84,0,"organic",2015,"Atlanta"
"41","2015-02-01",1.15,27929.74,14635.12,8013.19,667.82,4613.61,4613.61,0,0,"organic",2015,"BaltimoreWashington"
"42","2015-01-25",1.41,15387.74,8097.26,5023.48,528.36,1738.64,1738.64,0,0,"organic",2015,"BaltimoreWashington"
"43","2015-01-18",1.41,14057.45,8148.89,4725.43,659.56,523.57,461.75,61.82,0,"organic",2015,"BaltimoreWashington"
"44","2015-01-11",1.22,26008.88,12258.26,7094.53,490.24,6165.85,6165.85,0,0,"organic",2015,"BaltimoreWashington"
"45","2015-01-04",1.29,19137.28,8040.64,6557.47,657.48,3881.69,3881.69,0,0,"organic",2015,"BaltimoreWashington"
"46","2015-02-01",1.43,1780.76,0,999.31,0,781.45,283.33,498.12,0,"organic",2015,"Boise"
"47","2015-01-25",1.82,1174.53,1.26,858.4,0,314.87,133.33,181.54,0,"organic",2015,"Boise"
"48","2015-01-18",1.44,2973.94,8.83,2513.36,0,451.75,143.33,308.42,0,"organic",2015,"Boise"
"49","2015-01-11",1.44,2378.68,0,1923.4,0,455.28,170,285.28,0,"organic",2015,"Boise"
"50","2015-01-04",1.64,1505.12,1.27,1129.5,0,374.35,186.67,187.68,0,"organic",2015,"Boise"
"51","2015-02-01",1.78,2943.85,12.18,1308.94,0,1622.73,1622.73,0,0,"organic",2015,"Boston"
"52","2015-01-25",2.01,1948.28,3.14,760.39,0,1184.75,1184.75,0,0,"organic",2015,"Boston"
"53","2015-01-18",2,2209.34,4.22,834.34,0,1370.78,1370.78,0,0,"organic",2015,"Boston"
"54","2015-01-11",1.94,2217.82,12.82,956.07,0,1248.93,1248.93,0,0,"organic",2015,"Boston"
"55","2015-01-04",1.83,2192.13,8.66,939.43,0,1244.04,1244.04,0,0,"organic",2015,"Boston"
"56","2015-02-01",1.55,2808.55,18.78,102.35,0,2687.42,2687.42,0,0,"organic",2015,"BuffaloRochester"
"57","2015-01-25",1.6,1480.91,16.46,90.53,0,1373.92,1373.92,0,0,"organic",2015,"BuffaloRochester"
"58","2015-01-18",1.64,1426.87,91.85,137.49,0,1197.53,1197.53,0,0,"organic",2015,"BuffaloRochester"
"59","2015-01-11",1.59,2078.49,0,143.51,0,1934.98,1934.98,0,0,"organic",2015,"BuffaloRochester"
"60","2015-01-04",1.73,379.82,0,59.82,0,320,320,0,0,"organic",2015,"BuffaloRochester"
